Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2021-05-27 9:43 PM,2021-05-28 9:47 AM,PDT,723,693,30,0
2021-05-27 3:46 AM,2021-05-27 7:47 AM,PDT,241,223,15,3
2021-05-25 9:06 PM,2021-05-26 7:00 AM,PDT,594,558,29,7
2021-05-24 9:42 PM,2021-05-25 8:06 AM,PDT,624,584,39,1
2021-05-23 4:00 PM,2021-05-24 8:11 AM,PDT,971,894,64,13
2021-05-22 11:39 PM,2021-05-23 9:12 AM,PDT,573,543,31,0
2021-05-21 10:50 PM,2021-05-22 9:42 AM,PDT,652,614,37,2
2021-05-20 10:05 PM,2021-05-21 8:44 AM,PDT,639,580,58,0
2021-05-19 11:23 PM,2021-05-20 8:06 AM,PDT,523,500,23,0
2021-05-18 10:21 PM,2021-05-19 7:27 AM,PDT,547,509,38,0
2021-05-16 9:49 PM,2021-05-17 7:11 AM,PDT,562,528,33,0
2021-05-15 10:30 PM,2021-05-16 8:42 AM,PDT,613,575,38,0
2021-05-14 10:22 PM,2021-05-15 7:56 AM,PDT,574,549,25,0
2021-05-13 10:17 PM,2021-05-14 7:19 AM,PDT,542,508,34,0
2021-05-12 9:33 PM,2021-05-13 8:37 AM,PDT,665,583,74,8
2021-05-11 9:58 PM,2021-05-12 8:27 AM,PDT,629,592,37,0
2021-05-10 10:00 PM,2021-05-11 8:04 AM,PDT,605,566,38,0
2021-05-10 12:20 AM,2021-05-10 7:11 AM,PDT,411,396,15,0
2021-05-08 7:58 PM,2021-05-09 8:29 AM,PDT,751,713,31,7
2021-05-08 3:18 AM,2021-05-08 7:28 AM,PDT,250,232,18,0
2021-05-05 11:50 PM,2021-05-06 6:56 AM,PDT,427,407,11,9
2021-05-05 12:33 AM,2021-05-05 6:44 AM,PDT,371,360,11,0
2021-05-04 12:33 AM,2021-05-04 8:13 AM,PDT,460,433,22,5
2021-05-02 11:47 PM,2021-05-03 8:30 AM,PDT,522,478,39,5
2021-05-02 12:44 AM,2021-05-02 8:30 AM,PDT,466,428,26,12
2021-04-30 10:55 PM,2021-05-01 4:30 AM,PDT,335,311,20,3
2021-04-30 12:21 AM,2021-04-30 7:43 AM,PDT,442,424,18,0
2021-04-28 10:48 PM,2021-04-29 7:54 AM,PDT,546,515,28,3
2021-04-27 11:54 PM,2021-04-28 7:00 AM,PDT,425,407,18,0
2021-04-26 11:57 PM,2021-04-27 7:09 AM,PDT,432,415,17,0
2021-04-25 11:42 PM,2021-04-26 6:55 AM,PDT,433,416,17,0
2021-04-25 2:04 AM,2021-04-25 9:05 AM,PDT,421,358,61,2
2021-04-23 11:34 PM,2021-04-24 7:19 AM,PDT,464,429,24,12
2021-04-22 10:00 PM,2021-04-23 7:25 AM,PDT,565,496,38,30
2021-04-21 10:08 PM,2021-04-22 3:30 AM,PDT,321,281,33,7
2021-04-20 9:30 PM,2021-04-21 6:37 AM,PDT,547,448,86,14
2021-04-19 10:17 PM,2021-04-20 6:59 AM,PDT,522,491,21,10
2021-04-18 11:46 PM,2021-04-19 8:56 AM,PDT,550,512,34,4
2021-04-17 11:29 PM,2021-04-18 8:42 AM,PDT,554,483,58,13
2021-04-16 11:00 PM,2021-04-17 7:18 AM,PDT,498,472,26,0
2021-04-15 11:26 PM,2021-04-16 6:21 AM,PDT,415,394,21,0
2021-04-15 12:04 AM,2021-04-15 7:33 AM,PDT,449,431,18,0
2021-04-13 11:50 PM,2021-04-14 7:28 AM,PDT,458,424,27,6
2021-04-12 10:47 PM,2021-04-13 8:48 AM,PDT,602,532,55,15
2021-04-11 11:59 PM,2021-04-12 7:20 AM,PDT,441,420,21,0
2021-04-10 11:20 PM,2021-04-11 8:00 AM,PDT,519,479,37,3
2021-04-09 7:07 PM,2021-04-10 6:46 AM,PDT,699,549,134,16
2021-04-08 11:45 PM,2021-04-09 8:05 AM,PDT,500,468,32,0
2021-04-07 11:58 PM,2021-04-08 7:50 AM,PDT,472,444,28,0
2021-04-07 12:30 AM,2021-04-07 7:30 AM,PDT,420,405,15,0
2021-04-05 9:54 PM,2021-04-06 7:58 AM,PDT,604,568,30,6
2021-04-05 12:02 AM,2021-04-05 7:46 AM,PDT,464,445,20,0
2021-04-04 1:03 AM,2021-04-04 7:58 AM,PDT,414,395,15,4
2021-04-02 11:11 PM,2021-04-03 7:32 AM,PDT,501,485,16,0
2021-04-02 12:39 AM,2021-04-02 7:52 AM,PDT,433,422,11,0
2021-04-01 12:19 AM,2021-04-01 7:52 AM,PDT,452,430,22,0
2021-03-30 11:45 PM,2021-03-31 7:00 AM,PDT,435,0,0,0
2021-03-29 10:36 PM,2021-03-30 7:42 AM,PDT,547,524,22,0
2021-03-29 12:08 AM,2021-03-29 9:30 AM,PDT,562,478,77,7
2021-03-28 1:39 AM,2021-03-28 7:40 AM,PDT,361,342,19,0
2021-03-25 11:09 PM,2021-03-26 6:42 AM,PDT,454,434,19,0
2021-03-24 8:20 PM,2021-03-25 7:00 AM,PDT,640,536,91,13
2021-03-23 11:26 PM,2021-03-24 6:40 AM,PDT,433,408,26,0
2021-03-22 11:31 PM,2021-03-23 9:07 AM,PDT,576,541,33,2
2021-03-21 11:26 PM,2021-03-22 7:30 AM,PDT,483,445,35,3
2021-03-19 10:48 PM,2021-03-20 8:27 AM,PDT,579,512,44,23
2021-03-19 12:50 AM,2021-03-19 7:54 AM,PDT,424,399,25,0
2021-03-17 10:58 PM,2021-03-18 8:13 AM,PDT,554,509,43,2
2021-03-16 11:25 PM,2021-03-17 8:10 AM,PDT,525,504,21,0
2021-03-16 12:09 AM,2021-03-16 8:25 AM,PDT,496,457,39,0
2021-03-14 10:59 PM,2021-03-15 10:31 AM,PDT,691,581,90,20
2021-03-14 3:39 AM,2021-03-14 8:15 AM,PDT,277,267,10,0
2021-03-11 11:31 PM,2021-03-12 7:17 AM,PDT,466,447,18,0
2021-03-11 12:50 AM,2021-03-11 8:17 AM,PDT,447,429,18,0
2021-03-10 12:45 AM,2021-03-10 7:49 AM,PDT,424,398,26,0
2021-03-08 10:48 PM,2021-03-09 8:00 AM,PDT,552,519,33,0
2021-03-07 11:29 PM,2021-03-08 7:43 AM,PDT,493,463,29,1
2021-03-06 11:25 PM,2021-03-07 6:44 AM,PDT,439,397,32,10
2021-03-04 12:01 AM,2021-03-04 8:03 AM,PDT,482,457,21,4
2021-03-02 11:47 PM,2021-03-03 8:25 AM,PDT,518,484,33,0
2021-03-02 12:38 AM,2021-03-02 5:50 AM,PDT,312,297,14,0
2021-02-28 11:13 PM,2021-03-01 6:36 AM,PDT,443,423,20,0
2021-02-27 11:10 PM,2021-02-28 8:37 AM,PDT,568,539,29,0
